VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-02-01 00:04:11,2016-02-01 00:07:29,1,0.69,-73.96044921875,40.71099853515625,1,N,-73.95665740966798,40.7188606262207,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
2,2016-02-01 00:06:20,2016-02-01 00:24:24,1,9.64,-73.8638916015625,40.76988983154297,1,N,-73.95111083984375,40.6921501159668,1,28.0,0.5,0.5,5.86,0.0,0.3,35.16
2,2016-02-01 00:08:48,2016-02-01 00:08:48,5,18.53,-73.78795623779298,40.641483306884766,2,N,-73.99610900878906,40.7381591796875,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
2,2016-02-01 00:11:02,2016-02-01 00:31:29,5,8.83,-73.86344909667967,40.77017974853516,1,N,-73.96092987060547,40.7970085144043,1,26.5,0.5,0.5,6.67,5.54,0.3,40.01
2,2016-02-01 00:14:27,2016-02-01 00:20:45,1,2.12,-73.98961639404298,40.71883773803711,1,N,-73.96145629882812,40.714012145996094,1,8.5,0.5,0.5,1.2,0.0,0.3,11.0
2,2016-02-01 00:21:01,2016-02-01 00:21:01,1,16.4,-73.79152679443358,40.64533996582031,2,N,-73.9696273803711,40.75368881225586,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
1,2016-02-01 00:00:00,2016-02-01 00:06:47,1,0.9,-73.98163604736328,40.728553771972656,1,N,-73.98048400878906,40.73954772949219,1,6.5,0.5,0.5,2.2,0.0,0.3,10.0
2,2016-02-01 00:00:00,2016-02-01 19:50:51,1,3.42,-73.9534683227539,40.767311096191406,1,N,0.0,0.0,2,12.0,1.3,0.5,0.0,0.0,0.0,13.8
1,2016-02-01 00:00:01,2016-02-01 00:03:16,3,0.0,-73.94977569580078,40.6624412536621,1,N,-73.94824981689453,40.66258239746094,3,2.5,0.5,0.5,0.0,0.0,0.3,3.8
1,2016-02-01 00:00:03,2016-02-01 00:05:38,1,1.0,-73.9686050415039,40.754764556884766,1,N,-73.97711181640625,40.76253128051758,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75
1,2016-02-01 00:00:03,2016-02-01 00:03:59,1,0.8,-73.9769515991211,40.74738693237305,1,N,-73.9869384765625,40.74481201171875,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3
2,2016-02-01 00:00:03,2016-02-01 00:11:06,2,3.13,-74.00328826904298,40.727100372314446,1,N,-73.97119140625,40.755889892578125,1,12.0,0.5,0.5,2.66,0.0,0.3,15.96
1,2016-02-01 00:00:05,2016-02-01 00:18:34,1,9.4,-73.87448120117188,40.77400970458984,1,N,-73.96406555175781,40.802833557128906,2,26.5,0.5,0.5,0.0,5.54,0.3,33.34
1,2016-02-01 00:00:06,2016-02-01 00:15:47,2,9.8,-73.86316680908203,40.769973754882805,1,N,-73.95632934570312,40.76748275756836,1,27.5,0.5,0.5,6.85,5.54,0.3,41.19
1,2016-02-01 00:00:07,2016-02-01 00:04:36,1,0.9,0.0,0.0,1,Y,0.0,0.0,1,5.5,0.5,0.5,1.7,0.0,0.3,8.5
2,2016-02-01 00:00:07,2016-02-01 00:22:20,6,12.1,-74.00010681152342,40.717788696289055,1,N,-73.93504333496092,40.844871520996094,2,34.5,0.5,0.5,0.0,0.0,0.3,35.8
2,2016-02-01 00:00:07,2016-02-01 00:04:33,3,1.19,-73.96262359619139,40.76123046875,1,N,-73.95545959472656,40.77259063720703,1,6.0,0.5,0.5,1.82,0.0,0.3,9.12
1,2016-02-01 00:00:08,2016-02-01 00:32:44,4,8.1,-73.99207305908203,40.759231567382805,1,N,-73.94001007080078,40.8514518737793,1,28.5,0.5,0.5,5.0,0.0,0.3,34.8
